customer_id,tenure,monthly_charges,total_charges,contract,usage_frequency,support_tickets,engagement_score,last_activity_days,churn,cluster,segment_name
CUS-000736,62,87.3,5426.98,Month-to-month,Medium,9,57,53,1,1,Low Value / Dormant
CUS-000737,62,128.14,8214.3,Two year,High,9,85,26,0,1,Low Value / Dormant
CUS-000738,24,105.72,2440.59,Two year,Low,2,70,14,0,0,High Value / Loyal
CUS-000739,55,65.39,3457.22,Month-to-month,Medium,8,40,2,1,2,Mid Value / Moderate
CUS-000740,9,107.14,923.8,Month-to-month,Medium,6,3,28,1,3,New / At-Risk
CUS-000741,3,103.52,321.35,Month-to-month,Medium,4,49,30,1,3,New / At-Risk
CUS-000742,31,141.03,4188.69,Month-to-month,Medium,7,14,58,1,3,New / At-Risk
CUS-000743,40,129.38,5425.57,Month-to-month,Medium,5,20,39,0,1,Low Value / Dormant
CUS-000744,36,104.17,3696.93,Month-to-month,Medium,6,78,54,1,0,High Value / Loyal
CUS-000745,24,64.4,1519.04,Two year,Medium,2,66,55,0,0,High Value / Loyal
CUS-000746,6,121.34,698.34,Month-to-month,High,9,25,17,0,3,New / At-Risk
CUS-000747,66,94.78,6308.86,One year,Low,5,4,23,1,1,Low Value / Dormant
CUS-000748,4,148.09,597.43,One year,High,2,41,38,1,3,New / At-Risk
CUS-000749,6,52.18,312.86,One year,Medium,6,63,53,0,0,High Value / Loyal
CUS-000750,51,30.36,1518.86,One year,Medium,9,48,56,0,2,Mid Value / Moderate
CUS-000751,62,29.09,1779.63,One year,High,5,55,43,0,2,Mid Value / Moderate
CUS-000752,57,103.2,5777.03,Two year,Low,9,97,46,0,1,Low Value / Dormant
CUS-000753,66,142.1,9309.59,One year,Medium,7,2,7,0,1,Low Value / Dormant
CUS-000754,8,20.25,159.45,Month-to-month,Medium,7,23,28,0,3,New / At-Risk
CUS-000755,26,114.35,3025.29,Month-to-month,Medium,5,48,47,1,3,New / At-Risk
CUS-000756,51,105.42,5266.55,Two year,High,1,85,36,0,1,Low Value / Dormant
CUS-000757,45,115.2,5106.65,One year,Medium,9,15,36,0,1,Low Value / Dormant
CUS-000758,44,66.2,2894.12,Two year,High,9,51,8,0,2,Mid Value / Moderate
CUS-000759,5,126.66,601.91,Month-to-month,High,5,24,44,1,3,New / At-Risk
CUS-000760,70,25.81,1805.4,Month-to-month,Medium,0,20,29,0,2,Mid Value / Moderate
CUS-000761,26,118.21,2998.31,Month-to-month,Medium,5,56,14,0,0,High Value / Loyal
CUS-000762,68,54.72,3555.76,Month-to-month,Medium,5,38,39,1,2,Mid Value / Moderate
CUS-000763,19,81.99,1621.82,One year,Medium,5,25,11,0,3,New / At-Risk
CUS-000764,20,126.94,2493.77,Two year,Low,8,86,51,1,0,High Value / Loyal
CUS-000765,12,55.28,658.42,One year,Medium,3,52,40,0,0,High Value / Loyal
CUS-000766,47,44.08,2139.43,Month-to-month,High,6,51,26,1,2,Mid Value / Moderate
CUS-000767,1,108.57,104.95,One year,High,2,47,46,0,3,New / At-Risk
CUS-000768,14,89.34,1294.59,One year,Medium,7,68,46,0,0,High Value / Loyal
CUS-000769,64,86.87,5416.2,One year,High,1,80,30,0,1,Low Value / Dormant
CUS-000770,38,53.38,2046.5,One year,High,1,64,12,0,2,Mid Value / Moderate
CUS-000771,37,24.53,924.63,One year,Medium,4,43,14,1,2,Mid Value / Moderate
CUS-000772,11,73.33,839.36,Month-to-month,Medium,0,71,53,1,0,High Value / Loyal
CUS-000773,3,33.85,102.65,One year,Low,0,88,4,0,0,High Value / Loyal
CUS-000774,33,137.78,4525.43,One year,Medium,2,98,41,0,1,Low Value / Dormant
CUS-000775,6,25.36,153.28,Month-to-month,Medium,5,57,54,1,0,High Value / Loyal
CUS-000776,50,76.11,3692.35,Month-to-month,Medium,9,39,24,1,2,Mid Value / Moderate
CUS-000777,10,26.79,272.98,Month-to-month,High,5,29,11,0,3,New / At-Risk
CUS-000778,5,32.42,157.03,Month-to-month,Low,7,26,48,1,3,New / At-Risk
CUS-000779,23,105.65,2443.92,Two year,High,6,14,8,0,3,New / At-Risk
CUS-000780,10,104.12,1056.61,Month-to-month,High,0,64,25,1,0,High Value / Loyal
CUS-000781,44,24.3,1111.67,Month-to-month,High,0,47,36,0,2,Mid Value / Moderate
CUS-000782,2,20.15,40.09,Month-to-month,Medium,3,20,8,1,3,New / At-Risk
CUS-000783,13,30.25,404.03,Month-to-month,Low,0,7,4,0,3,New / At-Risk
CUS-000784,40,119.19,4609.09,One year,High,0,82,54,0,1,Low Value / Dormant
CUS-000785,2,95.99,185.39,One year,Medium,9,74,45,1,0,High Value / Loyal
CUS-000786,65,24.96,1626.12,Month-to-month,High,0,94,6,1,2,Mid Value / Moderate
CUS-000787,63,83.45,5308.17,Two year,High,2,67,40,0,1,Low Value / Dormant
CUS-000788,17,112.56,1938.91,Month-to-month,Low,9,53,30,1,0,High Value / Loyal
CUS-000789,9,132.96,1226.07,One year,Medium,1,65,43,1,0,High Value / Loyal
CUS-000790,15,141.42,2077.87,Two year,Low,9,30,36,0,3,New / At-Risk
CUS-000791,24,62.57,1520.03,One year,High,7,66,6,1,0,High Value / Loyal
CUS-000792,38,37.66,1386.38,Two year,Low,6,15,4,1,2,Mid Value / Moderate
CUS-000793,35,50.8,1728.05,Two year,Low,9,75,51,1,0,High Value / Loyal
CUS-000794,49,120.9,5667.88,Two year,Medium,7,96,16,0,1,Low Value / Dormant
CUS-000795,69,146.29,10343.54,Month-to-month,High,3,70,10,0,1,Low Value / Dormant
CUS-000796,62,80.63,5002.63,One year,Medium,8,70,36,1,1,Low Value / Dormant
CUS-000797,60,59.7,3487.98,Two year,Medium,4,92,59,1,2,Mid Value / Moderate
CUS-000798,50,75.79,3811.05,Two year,Low,6,57,35,1,2,Mid Value / Moderate
CUS-000799,9,59.63,528.81,Two year,Medium,3,25,26,1,3,New / At-Risk
CUS-000800,34,53.34,1874.83,Two year,High,0,23,0,0,3,New / At-Risk
CUS-000801,35,97.19,3411.14,One year,Medium,7,12,57,1,3,New / At-Risk
CUS-000802,1,22.05,21.01,Month-to-month,Medium,8,48,0,0,0,High Value / Loyal
CUS-000803,40,53.74,2253.95,Month-to-month,Medium,8,10,13,1,2,Mid Value / Moderate
CUS-000804,64,105.98,6493.96,Month-to-month,High,9,17,52,0,1,Low Value / Dormant
CUS-000805,22,24.17,,Month-to-month,Medium,7,52,59,1,2,Mid Value / Moderate
CUS-000806,60,30.82,1837.37,Month-to-month,Medium,0,2,27,1,2,Mid Value / Moderate
CUS-000807,64,58.14,3627.78,Month-to-month,Medium,2,60,40,1,2,Mid Value / Moderate
CUS-000808,11,134.11,1501.29,Month-to-month,Medium,4,57,0,1,0,High Value / Loyal
CUS-000809,14,119.44,1609.54,Two year,Medium,6,81,7,1,0,High Value / Loyal
CUS-000810,60,22.88,1422.0,Month-to-month,Medium,7,73,44,0,2,Mid Value / Moderate
CUS-000811,30,85.22,2492.92,Month-to-month,High,0,47,40,1,3,New / At-Risk
CUS-000812,35,55.71,1922.81,One year,Medium,4,71,46,1,0,High Value / Loyal
CUS-000813,37,104.32,3911.19,Two year,Medium,2,13,58,1,3,New / At-Risk
CUS-000814,5,113.8,540.62,Month-to-month,High,6,74,42,0,0,High Value / Loyal
CUS-000815,26,132.17,3427.11,Month-to-month,Medium,5,22,25,1,3,New / At-Risk
CUS-000816,62,81.8,5271.81,Month-to-month,Medium,0,28,35,1,1,Low Value / Dormant
CUS-000817,4,149.28,607.89,Month-to-month,High,1,55,28,0,3,New / At-Risk
CUS-000818,42,147.4,6121.33,Month-to-month,High,4,50,39,0,1,Low Value / Dormant
CUS-000819,18,134.68,2463.16,One year,High,4,78,44,0,0,High Value / Loyal
CUS-000820,40,94.73,3954.75,Two year,Medium,0,19,48,1,3,New / At-Risk
CUS-000821,39,71.74,2710.54,One year,Medium,3,1,3,0,3,New / At-Risk
CUS-000822,14,67.37,946.18,Month-to-month,High,8,91,41,0,0,High Value / Loyal
CUS-000823,32,21.58,672.12,Month-to-month,Medium,8,68,1,1,2,Mid Value / Moderate
CUS-000824,51,52.39,2766.68,Month-to-month,High,4,56,57,1,2,Mid Value / Moderate
CUS-000825,38,113.45,4406.21,Month-to-month,High,6,88,29,1,1,Low Value / Dormant
CUS-000826,23,98.47,2333.05,One year,High,1,14,46,0,3,New / At-Risk
CUS-000827,63,139.13,9153.82,Two year,Low,0,64,19,1,1,Low Value / Dormant
CUS-000828,15,26.5,386.9,Month-to-month,High,1,87,29,0,0,High Value / Loyal
CUS-000829,25,40.19,959.31,Two year,Medium,3,69,17,0,0,High Value / Loyal
CUS-000830,17,122.6,2040.65,Two year,Medium,5,84,29,0,0,High Value / Loyal
CUS-000831,66,66.61,4351.66,Month-to-month,High,2,22,45,0,2,Mid Value / Moderate
CUS-000832,53,35.38,1898.87,Month-to-month,Medium,1,44,34,0,2,Mid Value / Moderate
CUS-000833,51,149.54,7853.51,Month-to-month,Medium,6,49,0,1,1,Low Value / Dormant
CUS-000834,39,122.34,4699.69,One year,Medium,7,99,57,1,1,Low Value / Dormant
CUS-000835,51,73.14,3720.07,Month-to-month,Low,8,36,2,1,2,Mid Value / Moderate
CUS-000836,70,127.04,9146.31,Month-to-month,Medium,9,69,22,0,1,Low Value / Dormant
CUS-000837,6,108.48,632.99,Two year,Medium,7,97,58,1,0,High Value / Loyal
CUS-000838,67,122.7,7988.14,Month-to-month,Medium,1,88,44,0,1,Low Value / Dormant
CUS-000839,7,125.98,889.71,Month-to-month,Low,2,34,39,1,3,New / At-Risk
CUS-000840,51,31.01,1571.64,One year,Low,0,37,21,1,2,Mid Value / Moderate
CUS-000841,42,100.99,4431.83,Two year,Medium,0,89,48,1,1,Low Value / Dormant
CUS-000842,64,20.88,1317.35,Month-to-month,Medium,5,51,54,0,2,Mid Value / Moderate
CUS-000843,15,25.65,394.73,Month-to-month,Medium,2,37,47,1,3,New / At-Risk
CUS-000844,29,137.52,4021.14,One year,High,3,25,47,1,3,New / At-Risk
CUS-000845,33,88.58,2793.04,One year,Medium,9,86,43,1,0,High Value / Loyal
CUS-000846,27,115.67,2993.22,Two year,High,7,5,50,0,3,New / At-Risk
CUS-000847,36,129.01,4506.33,Month-to-month,Medium,4,8,47,1,1,Low Value / Dormant
CUS-000848,29,143.45,4011.5,One year,Medium,5,53,14,0,1,Low Value / Dormant
CUS-000849,38,133.02,4968.36,Month-to-month,Medium,8,27,40,0,1,Low Value / Dormant
CUS-000850,57,82.83,4758.63,Two year,Low,1,61,15,1,1,Low Value / Dormant
CUS-000851,27,63.68,1736.85,Month-to-month,High,2,99,26,0,0,High Value / Loyal
CUS-000852,55,40.08,2223.98,Month-to-month,High,4,65,31,0,2,Mid Value / Moderate
CUS-000853,33,72.04,2286.47,Month-to-month,High,1,84,33,0,0,High Value / Loyal
CUS-000854,68,67.64,4645.9,Month-to-month,Medium,7,71,56,1,2,Mid Value / Moderate
CUS-000855,66,92.74,6065.91,Month-to-month,Medium,1,45,41,1,1,Low Value / Dormant
CUS-000856,10,106.52,1108.09,Month-to-month,High,3,3,11,1,3,New / At-Risk
CUS-000857,5,147.18,766.23,Month-to-month,Medium,2,61,17,1,0,High Value / Loyal
CUS-000858,38,114.69,4475.1,Month-to-month,High,3,50,17,0,1,Low Value / Dormant
CUS-000859,13,103.69,1375.31,Two year,Medium,3,48,59,0,3,New / At-Risk
CUS-000860,31,63.56,1894.55,Month-to-month,Medium,5,73,3,0,0,High Value / Loyal
CUS-000861,47,24.49,1103.02,One year,High,9,47,33,0,2,Mid Value / Moderate
CUS-000862,52,57.46,3089.56,One year,High,9,14,38,1,2,Mid Value / Moderate
CUS-000863,56,119.9,6665.3,Month-to-month,High,9,19,18,1,1,Low Value / Dormant
CUS-000864,15,46.69,696.87,Month-to-month,Medium,8,91,42,0,0,High Value / Loyal
CUS-000865,29,112.58,3378.5,Two year,High,2,62,44,0,0,High Value / Loyal
CUS-000866,8,95.37,772.24,Month-to-month,Medium,0,6,51,1,3,New / At-Risk
CUS-000867,5,42.34,204.92,Month-to-month,Medium,7,7,30,1,3,New / At-Risk
CUS-000868,29,54.01,1521.06,Month-to-month,Medium,6,90,48,1,0,High Value / Loyal
CUS-000869,47,84.52,3776.33,Month-to-month,High,1,13,30,1,2,Mid Value / Moderate
CUS-000870,68,74.39,5165.0,Month-to-month,Low,4,46,41,0,1,Low Value / Dormant
CUS-000871,45,121.21,5446.75,Two year,Medium,9,33,47,0,1,Low Value / Dormant
CUS-000872,2,115.47,241.34,Two year,Medium,3,97,19,0,0,High Value / Loyal
CUS-000873,27,94.69,2611.47,Two year,Medium,8,41,47,1,3,New / At-Risk
CUS-000874,36,126.9,4386.96,Month-to-month,Medium,3,73,19,0,1,Low Value / Dormant
CUS-000875,36,93.15,3239.8,Two year,Low,4,79,31,0,0,High Value / Loyal
CUS-000876,26,145.37,3780.29,One year,High,7,69,19,0,1,Low Value / Dormant
CUS-000877,43,48.24,2162.41,Two year,Medium,2,29,15,0,2,Mid Value / Moderate
CUS-000878,27,112.84,2969.6,One year,High,5,7,58,0,3,New / At-Risk
CUS-000879,69,68.09,4851.37,Month-to-month,Medium,5,95,56,1,2,Mid Value / Moderate
CUS-000880,20,56.27,1104.19,Two year,Low,6,54,18,0,0,High Value / Loyal
CUS-000881,11,43.45,466.96,Month-to-month,Medium,8,98,30,1,0,High Value / Loyal
CUS-000882,38,91.83,3629.43,Two year,Low,2,11,12,1,3,New / At-Risk
CUS-000883,6,48.01,275.02,Month-to-month,Low,4,42,54,1,3,New / At-Risk
CUS-000884,23,46.05,1076.07,Two year,Medium,4,83,19,0,0,High Value / Loyal
CUS-000885,47,148.77,6672.73,Month-to-month,Medium,4,5,42,1,1,Low Value / Dormant
CUS-000886,46,124.23,5886.32,Month-to-month,High,5,87,11,0,1,Low Value / Dormant
CUS-000887,12,117.28,1453.67,One year,High,0,47,48,0,3,New / At-Risk
CUS-000888,13,123.23,1664.98,One year,High,8,2,46,1,3,New / At-Risk
CUS-000889,62,145.96,8765.44,One year,Medium,2,43,25,1,1,Low Value / Dormant
CUS-000890,60,94.53,5458.59,Month-to-month,Low,5,4,34,1,1,Low Value / Dormant
CUS-000891,43,48.63,2091.9,Month-to-month,Medium,3,81,40,1,2,Mid Value / Moderate
CUS-000892,68,132.09,8776.82,Month-to-month,Low,6,95,9,1,1,Low Value / Dormant
CUS-000893,5,116.55,588.97,Month-to-month,High,7,63,11,0,0,High Value / Loyal
CUS-000894,37,73.86,2736.58,One year,Low,3,59,53,1,2,Mid Value / Moderate
CUS-000895,31,81.56,2438.69,Month-to-month,Low,9,30,23,1,3,New / At-Risk
CUS-000896,9,73.46,676.99,Month-to-month,Low,5,2,8,1,3,New / At-Risk
CUS-000897,51,140.89,7403.8,Two year,High,9,88,55,1,1,Low Value / Dormant
CUS-000898,29,64.66,1961.94,Month-to-month,High,6,74,4,1,0,High Value / Loyal
CUS-000899,40,145.25,5749.43,One year,Medium,9,92,30,0,1,Low Value / Dormant
CUS-000900,41,138.34,5579.72,Month-to-month,Medium,6,43,53,1,1,Low Value / Dormant
CUS-000901,11,101.97,1087.13,Month-to-month,Low,8,96,57,1,0,High Value / Loyal
CUS-000902,23,95.38,2123.66,One year,Low,7,97,33,1,0,High Value / Loyal
CUS-000903,1,68.11,66.89,Month-to-month,Medium,2,18,59,1,3,New / At-Risk
CUS-000904,46,22.38,1079.27,One year,Medium,3,24,44,0,2,Mid Value / Moderate
CUS-000905,21,36.59,737.08,Two year,Medium,8,37,10,0,3,New / At-Risk
CUS-000906,36,118.05,4147.54,Two year,Medium,6,30,8,0,1,Low Value / Dormant
CUS-000907,54,81.3,4208.45,Two year,High,6,69,21,0,2,Mid Value / Moderate
CUS-000908,57,39.48,2199.36,One year,Medium,0,59,39,0,2,Mid Value / Moderate
CUS-000909,1,54.31,52.1,Month-to-month,High,1,23,54,1,3,New / At-Risk
CUS-000910,63,143.22,9030.28,Month-to-month,High,0,30,46,1,1,Low Value / Dormant
CUS-000911,54,67.73,3634.73,One year,High,3,68,27,0,2,Mid Value / Moderate
CUS-000912,55,138.0,7342.53,One year,High,3,41,15,0,1,Low Value / Dormant
CUS-000913,40,59.6,2306.58,Month-to-month,Medium,4,51,9,0,2,Mid Value / Moderate
CUS-000914,15,90.62,1376.42,Month-to-month,Medium,4,88,33,0,0,High Value / Loyal
CUS-000915,21,22.66,470.53,Month-to-month,Medium,0,67,14,0,0,High Value / Loyal
CUS-000916,47,87.84,3945.43,Month-to-month,Medium,6,15,17,0,2,Mid Value / Moderate
CUS-000917,53,102.8,5677.47,Month-to-month,Medium,5,56,44,1,1,Low Value / Dormant
CUS-000918,9,50.46,449.82,One year,Medium,7,65,30,0,0,High Value / Loyal
CUS-000919,52,95.26,4998.72,Month-to-month,Low,3,74,4,0,1,Low Value / Dormant
CUS-000920,57,104.13,6164.27,One year,Medium,0,90,50,1,1,Low Value / Dormant
CUS-000921,26,109.3,2813.87,One year,High,2,55,32,0,0,High Value / Loyal
CUS-000922,41,120.93,5117.22,Month-to-month,High,8,76,57,1,1,Low Value / Dormant
CUS-000923,35,60.47,2204.38,Month-to-month,Medium,9,65,58,1,2,Mid Value / Moderate
CUS-000924,63,93.81,5717.46,Month-to-month,Medium,6,2,28,1,1,Low Value / Dormant
CUS-000925,25,147.61,3834.97,One year,Medium,1,11,2,0,3,New / At-Risk
CUS-000926,38,136.76,4999.27,One year,Medium,2,76,22,0,1,Low Value / Dormant
CUS-000927,2,143.85,281.22,Month-to-month,Medium,1,92,9,1,0,High Value / Loyal
CUS-000928,7,70.2,506.53,Month-to-month,High,3,97,46,1,0,High Value / Loyal
CUS-000929,34,122.3,4324.84,Month-to-month,Low,1,42,31,1,1,Low Value / Dormant
CUS-000930,17,100.59,1741.46,One year,Medium,3,3,56,0,3,New / At-Risk
CUS-000931,43,30.76,1270.23,Month-to-month,Medium,6,41,47,0,2,Mid Value / Moderate
CUS-000932,59,127.12,7517.17,One year,Medium,7,49,26,0,1,Low Value / Dormant
CUS-000933,51,108.02,5549.2,One year,High,9,83,35,0,1,Low Value / Dormant
CUS-000934,54,45.86,2422.38,Month-to-month,Medium,5,82,23,0,2,Mid Value / Moderate
CUS-000935,24,30.37,764.59,One year,High,8,37,53,0,3,New / At-Risk
CUS-000936,25,128.81,3167.39,Month-to-month,Medium,5,92,19,1,0,High Value / Loyal
CUS-000937,71,30.26,2086.02,Month-to-month,Low,2,95,2,1,2,Mid Value / Moderate
CUS-000938,52,31.88,1592.93,Month-to-month,Medium,0,7,4,0,2,Mid Value / Moderate
CUS-000939,70,75.56,5225.15,Month-to-month,Low,8,38,2,1,1,Low Value / Dormant
CUS-000940,33,37.52,1262.13,Month-to-month,Medium,2,58,39,1,2,Mid Value / Moderate
CUS-000941,49,138.78,6617.44,One year,High,0,5,58,0,1,Low Value / Dormant
CUS-000942,29,81.14,2416.39,Two year,High,1,61,59,0,0,High Value / Loyal
CUS-000943,63,93.99,5705.45,One year,Medium,2,83,5,0,1,Low Value / Dormant
CUS-000944,22,140.65,3075.96,Month-to-month,Medium,7,77,14,0,0,High Value / Loyal
CUS-000945,26,88.93,2359.08,Two year,Medium,7,39,58,1,3,New / At-Risk
CUS-000946,28,65.97,1779.71,Month-to-month,Medium,1,28,5,0,3,New / At-Risk
CUS-000947,49,123.63,6117.15,Month-to-month,Low,5,57,22,0,1,Low Value / Dormant
CUS-000948,71,77.57,5672.16,Month-to-month,Low,1,2,59,0,1,Low Value / Dormant
CUS-000949,49,61.4,3037.4,One year,Medium,6,70,29,0,2,Mid Value / Moderate
CUS-000950,20,114.02,2283.01,Month-to-month,Medium,9,79,38,0,0,High Value / Loyal
CUS-000951,63,124.21,8089.87,One year,Medium,2,28,39,1,1,Low Value / Dormant
CUS-000952,61,122.92,7862.29,Month-to-month,High,7,37,47,0,1,Low Value / Dormant
CUS-000953,49,147.1,6978.08,One year,Low,2,89,20,0,1,Low Value / Dormant
CUS-000954,71,122.27,8847.04,One year,Low,9,96,44,1,1,Low Value / Dormant
CUS-000955,1,120.09,115.06,Two year,Medium,5,55,36,0,0,High Value / Loyal
CUS-000956,13,131.47,1631.01,Two year,High,0,94,21,0,0,High Value / Loyal
CUS-000957,51,20.02,998.84,One year,High,7,88,51,0,2,Mid Value / Moderate
CUS-000958,56,67.12,3935.5,Month-to-month,Medium,6,82,1,1,2,Mid Value / Moderate
CUS-000959,62,115.89,7222.58,One year,Low,0,1,13,0,1,Low Value / Dormant
CUS-000960,32,97.96,3062.19,Month-to-month,High,6,3,17,1,3,New / At-Risk
CUS-000961,30,43.08,1245.04,Two year,High,4,71,49,0,0,High Value / Loyal
CUS-000962,29,59.49,1797.56,Two year,High,1,97,49,0,0,High Value / Loyal
CUS-000963,49,63.78,3082.35,Month-to-month,High,0,85,14,0,2,Mid Value / Moderate
CUS-000964,45,93.82,4140.19,One year,Low,1,14,36,0,3,New / At-Risk
CUS-000965,30,128.11,3980.81,Month-to-month,High,5,48,1,0,1,Low Value / Dormant
CUS-000966,16,141.22,2283.17,Month-to-month,High,1,37,54,0,3,New / At-Risk
CUS-000967,40,117.51,4544.72,One year,Medium,5,3,42,1,1,Low Value / Dormant
CUS-000968,19,129.58,2442.76,Month-to-month,High,7,49,19,0,3,New / At-Risk
CUS-000969,18,81.11,1522.55,Two year,Medium,7,56,9,1,0,High Value / Loyal
CUS-000970,1,70.67,73.51,Month-to-month,Medium,5,89,4,0,0,High Value / Loyal
CUS-000971,47,71.05,3195.89,Two year,Medium,4,60,31,1,2,Mid Value / Moderate
CUS-000972,66,100.09,6452.77,One year,High,3,97,1,0,1,Low Value / Dormant
CUS-000973,38,36.15,1326.27,Two year,Medium,5,13,43,0,2,Mid Value / Moderate
CUS-000974,51,95.33,4878.49,Month-to-month,Medium,4,53,48,1,1,Low Value / Dormant
CUS-000975,63,106.47,6875.11,Month-to-month,Medium,9,50,56,1,1,Low Value / Dormant
CUS-000976,4,77.06,301.93,Two year,Medium,3,97,53,0,0,High Value / Loyal
CUS-000977,1,143.91,147.62,One year,Medium,5,93,4,1,0,High Value / Loyal
CUS-000978,8,99.07,805.91,Month-to-month,Medium,8,19,20,1,3,New / At-Risk
CUS-000979,29,48.6,1441.56,One year,Medium,8,26,17,0,3,New / At-Risk
CUS-000980,55,82.3,4729.29,Two year,High,7,53,47,1,1,Low Value / Dormant
CUS-000981,3,107.8,320.97,One year,High,9,57,39,0,0,High Value / Loyal
CUS-000982,32,62.07,1955.03,One year,Low,0,38,3,1,3,New / At-Risk
CUS-000983,10,30.35,309.11,Two year,Medium,8,9,31,1,3,New / At-Risk
CUS-000984,34,95.85,3359.01,Month-to-month,Medium,4,46,35,1,3,New / At-Risk
CUS-000985,55,143.22,7634.21,Two year,Medium,2,94,55,0,1,Low Value / Dormant
CUS-000986,32,83.06,2750.08,One year,Medium,7,86,3,1,0,High Value / Loyal
CUS-000987,50,137.79,6585.08,Month-to-month,Medium,7,4,16,1,1,Low Value / Dormant
CUS-000988,7,128.55,855.45,Month-to-month,Medium,8,71,51,0,0,High Value / Loyal
CUS-000989,8,39.16,302.61,Month-to-month,Low,1,82,41,1,0,High Value / Loyal
CUS-000990,65,112.06,7632.7,One year,Medium,9,50,32,0,1,Low Value / Dormant
CUS-000991,57,76.61,4377.09,One year,Medium,3,70,21,1,2,Mid Value / Moderate
CUS-000992,67,52.53,3360.05,Two year,Low,9,93,17,1,2,Mid Value / Moderate
CUS-000993,59,109.3,6769.44,Two year,Medium,1,5,26,0,1,Low Value / Dormant
CUS-000994,54,116.55,6447.61,Month-to-month,Low,5,70,14,0,1,Low Value / Dormant
CUS-000995,67,43.39,3005.15,One year,Medium,0,34,24,0,2,Mid Value / Moderate
CUS-000996,51,138.88,6879.45,One year,Low,9,98,9,0,1,Low Value / Dormant
CUS-000997,8,117.65,904.06,Month-to-month,Medium,2,65,15,1,0,High Value / Loyal
CUS-000998,34,141.34,4812.77,One year,High,1,18,3,1,1,Low Value / Dormant
CUS-000999,35,61.22,2201.0,Month-to-month,Medium,6,27,30,0,3,New / At-Risk
CUS-001000,32,142.11,4610.29,Month-to-month,Medium,7,10,58,1,1,Low Value / Dormant
CUS-001001,46,67.91,3164.68,Month-to-month,Medium,1,2,31,0,2,Mid Value / Moderate
CUS-001002,16,27.02,443.37,One year,High,8,83,23,0,0,High Value / Loyal
CUS-001003,68,119.19,7883.41,One year,Medium,0,91,58,1,1,Low Value / Dormant
CUS-001004,37,111.46,4190.48,One year,Low,1,61,17,0,1,Low Value / Dormant
CUS-001005,54,97.73,5220.4,One year,High,2,22,31,0,1,Low Value / Dormant
CUS-001006,14,83.69,1121.2,Month-to-month,Low,1,10,52,0,3,New / At-Risk
CUS-001007,55,24.18,1290.37,Month-to-month,High,0,59,27,0,2,Mid Value / Moderate
CUS-001008,48,101.2,5000.3,Month-to-month,Medium,7,91,10,1,1,Low Value / Dormant
CUS-001009,7,74.19,539.88,Month-to-month,Low,0,12,7,1,3,New / At-Risk
CUS-001010,7,92.83,635.68,Two year,High,4,63,0,0,0,High Value / Loyal
CUS-001011,33,75.81,2424.32,One year,Low,5,15,53,1,3,New / At-Risk
CUS-001012,23,145.59,3190.03,Month-to-month,Low,6,63,1,1,0,High Value / Loyal
CUS-001013,19,98.53,1955.96,Month-to-month,Medium,2,65,20,1,0,High Value / Loyal
CUS-001014,19,117.4,2271.62,One year,Medium,6,38,48,1,3,New / At-Risk
CUS-001015,36,141.73,5335.29,One year,Low,7,88,59,1,1,Low Value / Dormant
CUS-001016,29,96.91,2912.58,One year,Medium,9,6,51,1,3,New / At-Risk
CUS-001017,60,21.57,1273.44,Month-to-month,High,2,93,18,1,2,Mid Value / Moderate
CUS-001018,2,24.46,47.02,One year,Low,4,6,41,0,3,New / At-Risk
CUS-001019,1,111.3,111.29,Month-to-month,Medium,0,38,29,1,3,New / At-Risk
CUS-001020,47,56.28,2520.04,Two year,High,8,48,52,0,2,Mid Value / Moderate
CUS-001021,69,95.32,6346.79,Month-to-month,High,7,15,39,0,1,Low Value / Dormant
CUS-001022,20,46.3,901.24,Month-to-month,Low,2,72,24,1,0,High Value / Loyal
CUS-001023,11,55.13,616.5,One year,High,3,29,52,0,3,New / At-Risk
CUS-001024,2,85.6,171.38,Month-to-month,High,0,2,8,0,3,New / At-Risk
CUS-001025,67,146.82,9642.85,One year,High,0,75,41,1,1,Low Value / Dormant
CUS-001026,12,100.12,1209.16,Month-to-month,Medium,5,73,51,1,0,High Value / Loyal
CUS-001027,20,141.7,2727.77,Month-to-month,Medium,5,16,27,1,3,New / At-Risk
CUS-001028,5,144.72,742.1,Two year,Low,8,58,36,0,0,High Value / Loyal
CUS-001029,37,47.05,1777.92,Month-to-month,Medium,4,88,58,1,0,High Value / Loyal
CUS-001030,38,60.46,2232.17,Month-to-month,Low,2,34,31,1,2,Mid Value / Moderate
CUS-001031,9,120.1,1092.39,Month-to-month,High,5,43,40,1,3,New / At-Risk
CUS-001032,53,132.68,7034.33,Two year,Low,7,24,10,1,1,Low Value / Dormant
CUS-001033,44,87.5,3680.89,One year,High,6,25,56,0,2,Mid Value / Moderate
CUS-001034,24,149.12,3499.47,Two year,Low,9,41,49,1,3,New / At-Risk
CUS-001035,30,21.5,677.35,Two year,Medium,2,33,20,1,2,Mid Value / Moderate
CUS-001036,59,58.95,3338.6,One year,Medium,0,43,23,0,2,Mid Value / Moderate
CUS-001037,14,101.01,1415.06,Month-to-month,Medium,3,17,0,0,3,New / At-Risk
CUS-001038,9,81.01,754.54,Two year,Medium,5,7,15,0,3,New / At-Risk
CUS-001039,40,35.16,1378.3,Month-to-month,Medium,3,59,51,1,2,Mid Value / Moderate
CUS-001040,66,67.81,4368.52,Two year,Low,4,27,23,0,2,Mid Value / Moderate
